event_name,date,time,location,price,source,url,max_price
Langhorne Slim – The Dreamin’ Kind Tour,2026-02-23,07:00 AM,Thunderbird Cafe & Music Hall,$39.17,pgh.events,https://thunderbirdmusichall.com/event/langhorne-slim-the-dreamin-kind-tour/thunderbird-cafe-music-hall/pittsburgh-pennsylvania/,39.17
Lucius Arthur / Anna Justen,2026-02-23,12:00 PM,The Government Center,N/A,pgh.events,https://www.thegovernmentcenter.com/events/lucius-arthur-anna-justen,N/A
MYSTERY MUSIK MONDAY CELEBRATING BLACK VOICES,2026-02-23,12:00 PM,Club Cafe,N/A,pgh.events,https://pgh.events/,N/A
Class Show – STAND-UP 101 (Monday),2026-02-23,07:00 PM,Arcade Comedy Theater,$10,pgh.events,https://www.arcadecomedytheater.com/event/class-show-stand-up-101-monday/,10.0
AcoustiCafe Open Stage Acousticafe hosted by Maleena Dominick!!,2026-02-23,07:00 PM,The Funhouse at Mr. Smalls,N/A,pgh.events,https://mrsmalls.com/events/acousticafe-open-stage-28/,N/A
BAD MOVIE BINGO: My Demon Lover,2026-02-23,07:30 PM,Bottlerocket Social Hall,$5,pgh.events,https://app.opendate.io/e/bad-movie-bingo-my-demon-lover-february-23-2026-653308,5.0
Monday Karaoke w/ DJ Paris Not France,2026-02-23,09:00 PM,Poetry Lounge,Free,pgh.events,https://www.poetrymillvale.com/event/monday-karaoke-w-dj-paris-not-france-48/,Free
Robotics & Tech Happy Hour!,2026-02-26,06:00 PM,Moonshot Museum016 North Lincoln,Free,Eventbrite,https://www.eventbrite.com/e/robotics-tech-happy-hour-tickets-1968235596653,Free
A Conversation with Margaret Hoover and Jennifer Palmieri,2026-03-12,06:00 PM,Campbell Memorial Chapel10 Chapel Hill,Free,Eventbrite,https://www.eventbrite.com/e/a-conversation-with-margaret-hoover-and-jennifer-palmieri-tickets-1976939690833,Free
Mamma Mia!,2026-03-15,02:00 PM,Upper St. Clair High School825 McLaughlin Run,Free,Eventbrite,https://www.eventbrite.com/e/mamma-mia-tickets-1980133376232,Free
Moneybagg Yo LIVE at Enclave,2026-02-27,09:00 PM,Enclave602 East Carson,Free,Eventbrite,https://www.eventbrite.com/e/moneybagg-yo-live-at-enclave-tickets-1980758206115,Free
St. Practice Day Pierogi Contest & Charity Crawl,2026-03-07,01:00 PM,N/A,$1,Eventbrite,https://www.eventbrite.com/e/st-practice-day-pierogi-contest-charity-crawl-tickets-1980152135341,1.0
Singles Speed Dating,2026-02-27,07:00 PM,Sally Ann's36 6th,Free,Eventbrite,https://www.eventbrite.com/e/singles-speed-dating-tickets-1982694914863,Free
February 26th PDMA Pittsburgh Happy Hour Networking Event,2026-02-26,06:00 PM,Perrytown Tap House002 Perry Highway,$15,Eventbrite,https://www.eventbrite.com/e/february-26th-pdma-pittsburgh-happy-hour-networking-event-tickets-1981275961736,15.0
VisitPITTSBURGH 2026 Annual Meeting,2026-03-23,01:30 PM,David L. Lawrence Convention Center000 Fort Duquesne,Free,Eventbrite,https://www.eventbrite.com/e/visitpittsburgh-2026-annual-meeting-tickets-1982219372503,Free
"Robotics Day/ Builders Forum Sponsored by Advantech, Qualcomm and Arrow",2026-02-25,08:30 AM,Wyndham Grand Pittsburgh Downtown,Free,Eventbrite,https://www.eventbrite.com/e/robotics-day-builders-forum-sponsored-by-advantech-qualcomm-and-arrow-tickets-1980237850718,Free
Pittsburgh Bridal Showcase,2026-03-22,12:00 PM,David L. Lawrence Convention Center000 Fort Duquesne,$15,Eventbrite,https://www.eventbrite.com/e/pittsburgh-bridal-showcase-tickets-1637159109969,15.0
BECOME @ PerScholas,2026-02-26,05:30 PM,Per Scholas,Free,Eventbrite,https://www.eventbrite.com/e/become-perscholas-tickets-1979460952996,Free
Tenth Annual Lock Kickoff,2026-03-07,06:00 PM,"Riverside Landings Event Center2 Washington AvenueOakmont, PA 15139",$70,Eventbrite,https://www.eventbrite.com/e/tenth-annual-lock-kickoff-tickets-1978286681719,70.0
FRIDAY MARCH 6: DAVE SMITH,2026-03-06,07:00 PM,The Comedy Bar @ Remo's151 Babcock,Free,Eventbrite,https://www.eventbrite.com/e/friday-march-6-dave-smith-tickets-1981466616991,Free
Kegs n' Eggs at City Works Pittsburgh,2026-03-14,08:00 AM,City Works -,$25,Eventbrite,https://www.eventbrite.com/e/kegs-n-eggs-at-city-works-pittsburgh-tickets-1981804893786,25.0
Level Up Your LinkedIn Personal Brand.,2026-02-25,05:30 PM,"The Garden Room, National Aviary00 Arch",Free,Eventbrite,https://www.eventbrite.com/e/level-up-your-linkedin-personal-brand-tickets-1657853908669,Free
Annual Sisters Helping Sisters Win 2026,2026-03-14,03:00 PM,The Circuit Center,$450.00,Eventbrite,https://www.eventbrite.com/e/annual-sisters-helping-sisters-win-2026-tickets-1979315680482,450.0
LIVESTOK presents: DRKRM,2026-02-27,08:00 PM,1139 Penn Ave1139 Penn,Free,Eventbrite,https://www.eventbrite.com/e/livestok-presents-drkrm-tickets-1979166767078,Free
FRIDAY FEBRUARY 27: LUIS J GOMEZ,2026-02-27,09:00 PM,The Comedy Bar @ Remo's151 Babcock,Free,Eventbrite,https://www.eventbrite.com/e/friday-february-27-luis-j-gomez-tickets-1797198211229,Free
"Reading & Conversation: ""Grizzled"" by Jason Bittel",2026-03-06,07:00 PM,White Whale Bookstore754 Liberty,Free,Eventbrite,https://www.eventbrite.com/e/reading-conversation-grizzled-by-jason-bittel-tickets-1982596683049,Free
Grow Pittsburgh Open House & Volunteer Fair,2026-03-03,05:30 PM,Garden Dreams Urban Farm & Nursery06 Holland,Free,Eventbrite,https://www.eventbrite.com/e/grow-pittsburgh-open-house-volunteer-fair-tickets-1977721286607,Free
